,300,400,500,600,700,800,900,1000,1100,1200
15,1.00,0.98,0.93,0.88,0.84,0.80,0.77,0.74,0.72,0.70
20,1.00,0.98,0.93,0.88,0.84,0.80,0.77,0.74,0.72,0.70
40,1.00,0.99,0.93,0.88,0.84,0.81,0.77,0.74,0.72,0.70
60,1.00,0.99,0.93,0.88,0.84,0.81,0.77,0.75,0.72,0.70
80,1.00,0.99,0.93,0.88,0.84,0.81,0.77,0.75,0.72,0.70
100,1.00,0.99,0.94,0.89,0.84,0.81,0.77,0.75,0.72,0.70
120,1.00,0.99,0.94,0.89,0.84,0.81,0.78,0.75,0.72,0.70
140,1.00,0.99,0.94,0.89,0.85,0.81,0.78,0.75,0.72,0.70
160,1.00,0.99,0.94,0.89,0.85,0.81,0.78,0.75,0.72,0.70
180,1.00,0.99,0.94,0.89,0.85,0.81,0.78,0.75,0.72,0.70
200,1.00,0.99,0.95,0.89,0.85,0.81,0.78,0.75,0.72,0.70
220,1.00,0.99,0.95,0.89,0.85,0.81,0.78,0.75,0.72,0.70
240,,1.00,0.95,0.90,0.85,0.81,0.78,0.75,0.72,0.70
260,,1.00,0.95,0.90,0.85,0.81,0.78,0.75,0.72,0.70
280,,1.00,0.96,0.90,0.85,0.81,0.78,0.75,0.72,0.70
300,,1.00,0.96,0.90,0.85,0.81,0.78,0.75,0.72,0.70
350,,1.00,0.96,0.90,0.86,0.82,0.78,0.75,0.72,0.70
400,,1.00,0.96,0.91,0.86,0.82,0.78,0.75,0.72,0.70
500,,1.00,0.96,0.92,0.86,0.82,0.78,0.75,0.73,0.70
600,,1.00,0.97,0.92,0.87,0.82,0.79,0.75,0.73,0.70
800,,,1.00,0.95,0.88,0.83,0.79,0.76,0.73,0.70
1000,,,1.00,0.96,0.89,0.84,0.78,0.76,0.73,0.71
1250,,,1.00,0.97,0.91,0.85,0.80,0.77,0.74,0.71
1500,,,,1.00,0.93,0.86,0.81,0.77,0.74,0.71
1750,,,,1.00,0.94,0.86,0.81,0.77,0.73,0.70
2000,,,,1.00,0.95,0.86,0.80,0.76,0.72,0.69
2500,,,,1.00,0.95,0.85,0.78,0.73,0.69,0.66
3000,,,,,1.00,0.82,0.74,0.69,0.65,0.62
